tweet,username,hash-tags,Date,Day,tweet_id,likes,retweets,polarity
##Nutty Nancy must have been under the influence of and the day AG Barr appeared before ##Congress,TonyEBoggs1,"['Nutty', 'Congress']",2019-05-04,Sat,1124771589726396417,0,0.0,0.0
***A great investigation Put a bunch of financial #DOJinvestigators on the job to look into #Russian money &amp #GOPMembers of #Congress!! I think that would answer the big question 'Why is there so much blind loyalty to #Trump?'**,ExrjmcCarr,"['DOJinvestigators', 'Russian', 'GOPMembers', 'Congress', 'Trump']",2019-05-04,Sat,1124771142370299905,0,0.0,0.06000000000000001
#Staytuned for #ChickenBarr to be held in contempt of #Congress and arrested for perjury #Mueller is going to #Testify to the #FACTS #Trump won with #Russia and can't win w/o them #TraitorTrump #LiarInChief,TheOUTFront,"['Staytuned', 'ChickenBarr', 'Congress', 'Mueller', 'Testify', 'FACTS', 'Trump', 'Russia', 'TraitorTrump', 'LiarInChief']",2019-05-04,Sat,1124770751784075264,3,0.0,0.8
Midlands Classics and Ancient History Colloquium 2019 15/05/2019 Coventry (England) #congress #Coventry #England,fasticongress,"['congress', 'Coventry', 'England']",2019-05-04,Sat,1124769660677890063,0,0.0,0.0
If Pro is the opposite of Con.... Then what is the opposite of #DynastyMuktBharat,JatinPatidar7,['DynastyMuktBharat'],2019-05-04,Sat,1124769633058164737,1,0.0,0.0
Russia Russia Russia or Coup to Divide and Conquer #congress #conservativenews #democrats #donaldtrump #hillaryclinton #politics #republicans,CDNnow,"['congress', 'conservativenews', 'democrats', 'donaldtrump', 'hillaryclinton', 'politics', 'republicans']",2019-05-04,Sat,1124769189393326080,0,0.0,0.0
Look that was the status of the Prime Minister of India the President of USA gave him repect by holding umbrella for him #LokSabhaElection2019 #Rajiv Gandhi #Rahulgandhi #Amethiloksabhapolls #congress,Ahteshamk,"['LokSabhaElection2019', 'Rajiv', 'Rahulgandhi', 'Amethiloksabhapolls', 'congress']",2019-05-04,Sat,1124768524176486400,1,0.0,0.0
Traditional #CongressVotes coming back to #Congress AND Traditional #BJPvotes going to #NOTA ! SO The REAL COMPETITION is between #Modi and #Nota ! Now TELL WHO WILL WIN ? #ModiWave or #NOTAwave ?!? #DeshKiPasandModi #Elections2019 #ElectionCommission #Rss #RSspirit,MServe2grow,"['CongressVotes', 'Congress', 'BJPvotes', 'NOTA', 'Modi', 'Nota', 'ModiWave', 'NOTAwave', 'DeshKiPasandModi', 'Elections2019', 'ElectionCommission', 'Rss', 'RSspirit']",2019-05-04,Sat,1124768066317967360,1,1.0,0.25
Former army generals debunk Congress claims on surgical strikes #armygenerals #Congress #SurgicalStrikes via _in,GSFNetwork,"['armygenerals', 'Congress', 'SurgicalStrikes']",2019-05-04,Sat,1124767476397428736,0,0.0,0.0
Former army generals debunk Congress claims on surgical strikes #armygenerals #Congress #SurgicalStrikes via _in,SatiShankar,"['armygenerals', 'Congress', 'SurgicalStrikes']",2019-05-04,Sat,1124767422584504320,0,0.0,0.0
Inner Purity and Pollution in Ancient Mediterranean Religions and Beyond 09-10-11/05/2019 Charlottesville (VA USA) #congress #Charlottesville #USA,fasticongress,"['congress', 'Charlottesville', 'USA']",2019-05-04,Sat,1124766707652997121,0,0.0,0.0
HEY #NancyPelosi are you listening #Congress,Jillisw,"['NancyPelosi', 'Congress']",2019-05-04,Sat,1124764190365892610,0,0.0,0.0
we have attic #progress which is the opposite of #congress,tracy_forner,"['progress', 'congress']",2019-05-04,Sat,1124763784705380355,3,0.0,0.0
Times have changed It is time to demonstrate that we are not timid apologists any more Also on governance matters policy paralysis thy name is #Congress,PatnaikRanjan,['Congress'],2019-05-04,Sat,1124762115330301952,0,0.0,0.5
Unless acts many of us (including her may never see Trump &amp his corrupt crew exposed for what they are #Dem voters went all out to get the #Congress back &amp we expect more,esorruzam,"['Dem', 'Congress']",2019-05-04,Sat,1124761662219665408,0,0.0,0.125
A #court in #Surat #India issued a summons to #Congress president #Rahul #Gandhi in response to a #criminal defamation suit filed by a Gujarat MLA over the Congress president’s “how come all thieves have #Modi as common surname remark,NooraniTejani,"['court', 'Surat', 'India', 'Congress', 'Rahul', 'Gandhi', 'criminal', 'Modi']",2019-05-04,Sat,1124761505822531584,0,0.0,-0.35
With all of these #leaks maybe #Trump does need to be more like #Obama Just use the #FBI &amp #NSA to #spy on journalists &amp their sources along with every member of #Congress &amp our #Allies Then have a weaponize #DOJ #prosecute the #journalists &amp their sources without question.,Fight_The_Bane,"['leaks', 'Trump', 'Obama', 'FBI', 'NSA', 'spy', 'Congress', 'Allies', 'DOJ', 'prosecute', 'journalists']",2019-05-04,Sat,1124761076736901120,0,0.0,0.5
Attorney Judge must stop money laundering into our Country &amp obviously not let them into our Elections Get busy #America #HouseofRepresentatives #Congress,Actthiswell,"['America', 'HouseofRepresentatives', 'Congress']",2019-05-04,Sat,1124761007509987330,0,0.0,0.05
#Barr is who we thought he was #AG is #Obstructed advocate now #cover up #Real numbers do not support President’s approval 39 of registered voters of #US not participating in voting process yet #Real numbers 26 approval #Congress must not take #Impeachment off the table.,delbertsanders,"['Barr', 'AG', 'Obstructed', 'cover', 'Real', 'US', 'Real', 'Congress', 'Impeachment']",2019-05-04,Sat,1124760062176759810,0,0.0,0.2
"But the other #CONGRESS leaders were not ready to pay heed to her. It won't be a surprise if that bar girl only has made this indication If yes it augurs really well for ""#India that is #Bharat with #YogiAdityanath being seen as the next threat to #Congress",Kunalbosconian,"['CONGRESS', 'India', 'Bharat', 'YogiAdityanath', 'Congress']",2019-05-04,Sat,1124759543441793024,0,0.0,-0.004999999999999999
India was offered #UN Permanent seat twice All Thanks to #Congress Leader #Nehru for giving it to China!,nirbhaisingh07,"['UN', 'Congress', 'Nehru']",2019-05-04,Sat,1124759194639511552,3,3.0,0.25
Hey your are an embarrassment and disgrace to #Tennessee #congress and the United States Make #Tennessee great again and kick his ass out next term,Libertea47,"['Tennessee', 'congress', 'Tennessee']",2019-05-04,Sat,1124759163500994560,0,0.0,0.4
And this fellow thinks he will become prime minister of India some #Congress #RahulGandhiToIndiaToday,pratikgunnhal,"['Congress', 'RahulGandhiToIndiaToday']",2019-05-04,Sat,1124759046760722432,0,0.0,0.0
One may say whatever one likes to but the only one aware of the real potential leader in is actually that Italian bar girl She was reiterating since 2007 Gujarat elections about the threat to #Congress from #PMModi who was the then Gujarat CM.,Kunalbosconian,"['Congress', 'PMModi']",2019-05-04,Sat,1124758967572238336,0,0.0,0.05
How long are we going to stand by &amp continue to talk about how bad #Trump is what a #Traitor he is &amp how #Congress is complicit When will people stop complaining &amp start taking action #ImpeachmentNOW #ImpeachTrumpNow #ImpeachDonadTrump,curlytopqt69,"['Trump', 'Traitor', 'Congress', 'ImpeachmentNOW', 'ImpeachTrumpNow', 'ImpeachDonadTrump']",2019-05-04,Sat,1124758823087017984,0,0.0,-0.21666666666666665
#Congress Lists 6 #SurgicalStrikes During Its Tenure Returns #BJP Barbs,BeingDebjoy,"['Congress', 'SurgicalStrikes', 'BJP']",2019-05-04,Sat,1124758289663680513,0,0.0,0.0
"""The fear of Modi-Shah is finally weakening says senior #Congress leader _IN amidst reports that one election commissioner ""found faults with their speech and dissented""",NewIndianXpress,['Congress'],2019-05-04,Sat,1124758106305650689,2,1.0,0.0
#CandaceOwens Crushes it in Congress [video #larryelder #blexit #walkaway #congress #potus #Trump #realdonaldtrump via Tomasella SafeGuardYourSoul,PeopleP56524035,"['CandaceOwens', 'larryelder', 'blexit', 'walkaway', 'congress', 'potus', 'Trump', 'realdonaldtrump']",2019-05-04,Sat,1124758044900982784,0,0.0,0.0
Someone ANYONE what is stopping #Mueller from delivering the FULL #Report to #Congress His hard work was blacked out &amp now blocked #FullDisclosure #TruthOrDare #Courage THEN we can bet on Bob Mueller.,ken_taub,"['Mueller', 'Report', 'Congress', 'FullDisclosure', 'TruthOrDare', 'Courage']",2019-05-04,Sat,1124757519124127750,0,0.0,0.02916666666666665
_Jordan _pence WTF are our #JusticeDept and #Congress,Marissa02340089,"['JusticeDept', 'Congress']",2019-05-04,Sat,1124756978037817348,0,0.0,-0.5
Alta Associates is proud to be a sponsor of the Third Annual EWF #Cybersecurity Women on Capitol Hill Public/Private Symposium Tune in on 5/10 to view the live stream from Capitol Hill #EWFonCapitolHill #security #congress #capitolhill #EWFUSA,AltaAssociates,"['Cybersecurity', 'EWFonCapitolHill', 'security', 'congress', 'capitolhill', 'EWFUSA']",2019-05-04,Sat,1124756849620869128,1,1.0,0.3121212121212121
#PriyankaGandhiVadra Appeal for #Lucknow #Congress #Candidate #AcharyaPr.. via,24ghanteonline,"['PriyankaGandhiVadra', 'Lucknow', 'Congress', 'Candidate', 'AcharyaPr']",2019-05-04,Sat,1124755866727665664,0,0.0,0.0
"Pranam ji Conduct classes for budding journalist,giving them insight on how to seperate wheat from chaff That's how #FACTS need to be presented exposing the sins of #Congress #voters #NOTA tweeples ,find in the thread ,one of #72000 reasons for #CongressNeverAgain",Vinnti11,"['FACTS', 'Congress', 'voters', 'NOTA', '72000', 'CongressNeverAgain']",2019-05-04,Sat,1124755357710950400,0,0.0,0.1
Seems to be a Perfect calculation. #CONgress NyayScam me jo scam hoga na uska hint de rahi hai ye.,subbu_ks93,['CONgress'],2019-05-04,Sat,1124754907574128640,0,0.0,1.0
Furious Maya says Cong’s Guna manoeuvre may prove costly #Furious #Mayawati #Congress #Guna #manoeuvre #BahujanSamajParty #MadhyaPradesh #LokendraSinghRajput #NarendraModi #BJP #LokSabhaElections2019,pennewstweet,"['Furious', 'Mayawati', 'Congress', 'Guna', 'manoeuvre', 'BahujanSamajParty', 'MadhyaPradesh', 'LokendraSinghRajput', 'NarendraModi', 'BJP', 'LokSabhaElections2019']",2019-05-04,Sat,1124754539809202177,0,0.0,0.0
I Would Strongly STAND To State That It's Highly #Crimminal For An Active #Candidate Of The #UnitedStatesOfAmerica To SUGGEST That A #Foreign #Country #CHINA Interfere W A Standing #President #Politics #JudicialSystem #Investigations #Congress #Prosecute,ConnieImage,"['Crimminal', 'Candidate', 'UnitedStatesOfAmerica', 'Foreign', 'Country', 'CHINA', 'President', 'Politics', 'JudicialSystem', 'Investigations', 'Congress', 'Prosecute']",2019-05-04,Sat,1124754381411209216,1,0.0,0.08374999999999999
#Congress has done internal assessment in 2014 as well but #BJP won Any thoughts?,vishalpalan,"['Congress', 'BJP']",2019-05-04,Sat,1124752586362564609,0,0.0,0.0
"The addition of the #Census citizenship question could cost millions of dollars in funding,and ultimately representation in #Congress",MiFamiliaVota,"['Census', 'Congress']",2019-05-04,Sat,1124750668135321612,4,3.0,0.0
#CandaceOwens Holds Her Ground When Questioned By #Congress #black #blacks #blackcaucus #blm #blacklivesmatter #mywhiteprivilege #whiteprivilege #america #blackamerica #hatespeech #2a,PeopleP56524035,"['CandaceOwens', 'Congress', 'black', 'blacks', 'blackcaucus', 'blm', 'blacklivesmatter', 'mywhiteprivilege', 'whiteprivilege', 'america', 'blackamerica', 'hatespeech', '2a']",2019-05-04,Sat,1124750282888556546,0,0.0,-0.16666666666666666
"Pentagon Papers US Dep of Defense history of the US political military involvement #Vietnam 1945 -1967 1996 article Pentagon Papers demonstrated the Johnson Administration ""systematically lied not only to the public but also to #TrumpTraitor",AliceDedonato,"['Vietnam', 'TrumpTraitor']",2019-05-04,Sat,1124750229339803648,1,0.0,-0.025
Cong releases video sting of currency exchanged at BJP HQ post noteban #Congress #releases #video #currency #exchanged #BJPHQ #demonetisation #BJP #PiyushGoyal #KapilSibal #AmitShah #Terrorism #blackmoney #politicalscam,pennewstweet,"['Congress', 'releases', 'video', 'currency', 'exchanged', 'BJPHQ', 'demonetisation', 'BJP', 'PiyushGoyal', 'KapilSibal', 'AmitShah', 'Terrorism', 'blackmoney', 'politicalscam']",2019-05-04,Sat,1124749138141126656,0,0.0,0.0
Exactly #SteveCohen is obviously a racist and should be run out of #Congress,AlexPKeaton3,"['SteveCohen', 'Congress']",2019-05-04,Sat,1124749097485910017,1,0.0,0.125
#Congress introduced #pseudosecularism to #India #BJP countered it with #pseudonationalism,Jawaharchhoda,"['Congress', 'pseudosecularism', 'India', 'BJP', 'pseudonationalism']",2019-05-04,Sat,1124748573906808833,0,0.0,0.0
You are a #liar and #traitor #MuellerReport was clear that you were dirty and #Congress should #impeach,DonnyDeplorable,"['liar', 'traitor', 'MuellerReport', 'Congress', 'impeach']",2019-05-04,Sat,1124748399079718913,0,0.0,-0.25
Came across many trolls of NAMo by #Congress #RahulGandhi but whatever shit you do #namo will be the PM of India again,pa1channi,"['Congress', 'RahulGandhi', 'namo']",2019-05-04,Sat,1124748249296859136,0,0.0,0.15
PM targets Rahul Jaitley wonders if Rahul as ‘defence dealer would help India better #RahulGandhi #NarendraModi #ArunJaitley #BJP #Congress #DefenceDeal #UPAgovernment #Backops #UlrickMcknight #EdwardoFaleiro,pennewstweet,"['RahulGandhi', 'NarendraModi', 'ArunJaitley', 'BJP', 'Congress', 'DefenceDeal', 'UPAgovernment', 'Backops', 'UlrickMcknight', 'EdwardoFaleiro']",2019-05-04,Sat,1124747666288545792,0,0.0,0.5
Notices to Diggy Pragya #DigvijayaSingh #PragyaSinghThakur #Congress #BJP #ElectionCommission #MadhyaPradesh #LokSabhaElections2019 #LokSabhaElection2019,pennewstweet,"['DigvijayaSingh', 'PragyaSinghThakur', 'Congress', 'BJP', 'ElectionCommission', 'MadhyaPradesh', 'LokSabhaElections2019', 'LokSabhaElection2019']",2019-05-04,Sat,1124747572332060674,0,0.0,0.0
High voltage campaigning for fifth phase of LS polls in UP ends #Highvoltagecampaigning #fifthphase #UttarPradesh #LokSabhaElections2019 #LokSabhaElection2019 #Amethi #RaeBareli #Congress #BJP #SP #BSP #RahulGandhi #RajnathSingh #SmritiIrani #SoniaGandhi,pennewstweet,"['Highvoltagecampaigning', 'fifthphase', 'UttarPradesh', 'LokSabhaElections2019', 'LokSabhaElection2019', 'Amethi', 'RaeBareli', 'Congress', 'BJP', 'SP', 'BSP', 'RahulGandhi', 'RajnathSingh', 'SmritiIrani', 'SoniaGandhi']",2019-05-04,Sat,1124747544548892672,0,0.0,0.16
Sitharaman’s statement on AFSPA shows her ignorance about realities Soz #NirmalaSitharaman #SaifuddinSoz #AFSPA #Srinagar #JammuAndKashmir #ArmedForcesSpecialPowersAct #Kashmir #Congress,pennewstweet,"['NirmalaSitharaman', 'SaifuddinSoz', 'AFSPA', 'Srinagar', 'JammuAndKashmir', 'ArmedForcesSpecialPowersAct', 'Kashmir', 'Congress']",2019-05-04,Sat,1124747512529555457,0,0.0,0.0
TDS deduction on farmers compensation amounts to back stabbing Bhagwant Mann #BhagwantMann #Congress #BJP #navjotsinghsiddhu #Farmers #SUGERCANE,pennewstweet,"['BhagwantMann', 'Congress', 'BJP', 'navjotsinghsiddhu', 'Farmers', 'SUGERCANE']",2019-05-04,Sat,1124747087881445376,0,0.0,-0.3
Fifth phase of polls Will Cong succeed in retaining its bastion #RAHULGANDHI #SoniaGandhi #Congress #BJP #UttarPradesh #Dhaurarha #Barabanki #Faizabad #SmritiIrani,pennewstweet,"['RAHULGANDHI', 'SoniaGandhi', 'Congress', 'BJP', 'UttarPradesh', 'Dhaurarha', 'Barabanki', 'Faizabad', 'SmritiIrani']",2019-05-04,Sat,1124746845207416832,0,0.0,0.0
EC has finally shown some life Chidambaram on dissent note against Modi Shah #PCHIDANBARAM #NarendraModi #BJP #ElectionCommission #Elections2019 #mcc #Nagpur #Congress #RahulGandhi _IN,pennewstweet,"['PCHIDANBARAM', 'NarendraModi', 'BJP', 'ElectionCommission', 'Elections2019', 'mcc', 'Nagpur', 'Congress', 'RahulGandhi']",2019-05-04,Sat,1124746789003730944,0,0.0,0.0
Bacops Ltd defence deal Ready for any probe but what about Rafale Rahul #Bacops #defencedeal #probe #RafaleDeal #RahulGandhi #RafaleScam #Rafale #BackopsLimited #Congress #BackOps #UlrikMcknight #AmitShah,pennewstweet,"['Bacops', 'defencedeal', 'probe', 'RafaleDeal', 'RahulGandhi', 'RafaleScam', 'Rafale', 'BackopsLimited', 'Congress', 'BackOps', 'UlrikMcknight', 'AmitShah']",2019-05-04,Sat,1124746589392625665,0,0.0,0.2
Modi has put corruption on ventilator development on accelerator in 5 yrs Naqvi #NarendraModi #MukhtarAbbasNaqvi #Minister #BJP #RamcharanBohra #PrimeMinister #caste #religious #state #economy #educational #Congress,pennewstweet,"['NarendraModi', 'MukhtarAbbasNaqvi', 'Minister', 'BJP', 'RamcharanBohra', 'PrimeMinister', 'caste', 'religious', 'state', 'economy', 'educational', 'Congress']",2019-05-04,Sat,1124746529363845120,0,0.0,0.125
After days of #congress &amp #vacations at #merida and #longtrip #back to our pulmonary field #drjuliangenis #pulmonologist en Aeropuerto de Merida,drjuliangenis,"['congress', 'vacations', 'merida', 'longtrip', 'back', 'drjuliangenis', 'pulmonologist']",2019-05-04,Sat,1124746520790745088,0,0.0,0.0
Shame on and How can they tell lies on national security #Congress #AntiNational,vijaykumar1805,"['Congress', 'AntiNational']",2019-05-04,Sat,1124746328062316544,0,0.0,0.0
Rahul’s debate challenge BJP says public knows all will send one of spokespersons if he wants debate #Congress #RahulGandhi #NarendraModi #BJP #BJP4India,pennewstweet,"['Congress', 'RahulGandhi', 'NarendraModi', 'BJP', 'BJP4India']",2019-05-04,Sat,1124746299675369472,0,0.0,0.1
Neither me nor the towers of my hope will fall PM Modi #PMModi #UttarPradesh #NarendraModi #BJP #Congress #mahamilawat #dynasticrule #corruption #instability #casteism #LokSabhaElection2019 #LokSabhaElections2019,pennewstweet,"['PMModi', 'UttarPradesh', 'NarendraModi', 'BJP', 'Congress', 'mahamilawat', 'dynasticrule', 'corruption', 'instability', 'casteism', 'LokSabhaElection2019', 'LokSabhaElections2019']",2019-05-04,Sat,1124746164950028289,0,0.0,0.0
Myth in the Greek and Roman Worlds New Perspectives 14/05/2019 Milton Keynes (England) #congress #MiltonKeynes #England,fasticongress,"['congress', 'MiltonKeynes', 'England']",2019-05-04,Sat,1124746022239055872,1,3.0,0.06818181818181818
He was put in Twitter jail because he stated that conservatives should hang all patriots members of the #JusticeDepartment and #Congress for looking into ample evidence of conspiracy and obstruction of justice by the #POTUS #JamesWoods advocated murdering educated Americans.,ttrestler,"['JusticeDepartment', 'Congress', 'POTUS', 'JamesWoods']",2019-05-04,Sat,1124745748812267522,1,0.0,-0.1
"THE FACT THAT laughed and mocked a serious investigation on the phone with that nation's president, thinks ""no biggie to ongoing NK missile testing AND THERE IS radio silence this weekend from #Congress IS APPALLING. Where are the adults #ImpeachTrumpNow",RealSamCalloway,"['Congress', 'ImpeachTrumpNow']",2019-05-04,Sat,1124745598458945536,1,1.0,0.005555555555555554
Modi insulting our forces Rahul #NarendraModi #Congress #RahulGandhi #IndianArmy #IndianAirForce #IndianNavy #MasoodAzhar #BJPgovernment,pennewstweet,"['NarendraModi', 'Congress', 'RahulGandhi', 'IndianArmy', 'IndianAirForce', 'IndianNavy', 'MasoodAzhar', 'BJPgovernment']",2019-05-04,Sat,1124745548370550785,0,0.0,-1.0
_Siddharth Much Better than all other parties.. You mentioned #Congress #AAP #RJD Most corrupted parties of,haraprasad7,"['Congress', 'AAP', 'RJD']",2019-05-04,Sat,1124745522630332417,0,0.0,0.2916666666666667
Fifth round of voting Azhar ban arms BJP with nationalism plank #BJP #MasoodAzhar #UNSC #NarendraModi #Nationalism #arunjaitley #Congress #ManmohanSingh #Azharban #NarasimhaRao #NirmalaSitharaman #piyushgoyal #Pakistan,pennewstweet,"['BJP', 'MasoodAzhar', 'UNSC', 'NarendraModi', 'Nationalism', 'arunjaitley', 'Congress', 'ManmohanSingh', 'Azharban', 'NarasimhaRao', 'NirmalaSitharaman', 'piyushgoyal', 'Pakistan']",2019-05-04,Sat,1124745264848199680,0,0.0,-0.2
#CONGRESS was trounced by the #BJP in 2014 and left humiliated with JUST 44 seats while BJP had nearly 6.5 times the seats. How exactly does respresent the people of #India again ? same logic,Kunalbosconian,"['CONGRESS', 'BJP', 'India']",2019-05-04,Sat,1124744645643137024,0,0.0,0.0875
After looking at messages from Congi Spokies It looks like that this #KejriwalKiKutai is orchestrated. Perhaps AAP/#ArvindKejriwal is planning to use #KejriwalKiKutai as reason to do a mutual U-turn &amp forge alliance with #Congress. #ModiOnIndiaTV #KejriwalSlapped,being_delhite,"['KejriwalKiKutai', 'ArvindKejriwal', 'KejriwalKiKutai', 'Congress', 'ModiOnIndiaTV', 'KejriwalSlapped']",2019-05-04,Sat,1124744511538716672,0,0.0,0.0
Brewing fight? The #Republican Party is a sham They care about white power and money-they have shirked their #Constitution responsibility in the name of winning The “American Experiment require #Congress to stand up to the outrageous #abuse of power happening now It’s not #MAGA,shuttersny,"['Republican', 'Constitution', 'Congress', 'abuse', 'MAGA']",2019-05-04,Sat,1124744042871500801,0,0.0,-0.14
DMK drags TN Speaker to SC #DMK #ttvdinakaran #AIADMK #KPrabhu #Rathinasabapathi #VTKalaiselvan #DMKchief #Congress #KapilSibal,pennewstweet,"['DMK', 'ttvdinakaran', 'AIADMK', 'KPrabhu', 'Rathinasabapathi', 'VTKalaiselvan', 'DMKchief', 'Congress', 'KapilSibal']",2019-05-04,Sat,1124743887308746753,0,0.0,0.0
The credibility of media person chosen by #Congress/RG is as high as his IQ. Why on Earth will get 3 prime time anchor for #Modi &amp then publish RG interview as just print only/magazine interview Common sense. I pity #RahulGandhi as his PR team is backstabbing.,Animesh_India,"['Congress', 'Modi', 'RahulGandhi']",2019-05-04,Sat,1124743436253286401,0,0.0,-0.08
